low,high,street,side
100,999,MERIDAN ST,B
2401,2899,WESTPOINT ST,O
5690,5690,CULVER ST,E
5400,5999,BINGHAM ST,B
6025,6025,MEAD ST,O
13601,14599,TIREMAN AVE,O
6010,6398,N CHARLESWORTH ST,E
7200,7299,HILLSIDE DR,B
6800,7699,N VERNON ST,B
501,537,BOARDWALK LN,O
6000,6398,HURON CREEK CT,E
4672,4717,SCOTS WAY,B
5100,5618,ANN ARBOR RD,E
5017,5147,PEMBROOKE ST,B
230,268,FAIRFAX ST,E
26670,26963,ARCADIA DR,B
25964,25964,E HURON RIVER DR,E
28000,29999,PARKVIEW,B
25617,25972,VALLEY CREEK DR,B
27400,29099,DAWSON ST,B
18620,18620,BRADLEY RD,E
28208,28680,BARBARA LN,B
7432,7432,WASHINGTON ST,E
25800,26799,DARTMOUTH ST,B
3800,3899,ROBINSON CT,B
7000,7199,RIDGEDALE LN,B
3733,3733,E STEIN RD,O
1808,1808,COLLEGE AVE,E
401,899,GARFIELD AVE,O
2181,2181,KEPPEN BLVD,O
1930,1930,MORRIS AVE,E
1770,1770,RUSSELL AVE,E
1716,1716,WHITE AVE,E
32910,32910,W CHICAGO ST,E
8993,8997,NEWPORT CT,B
35104,35104,BANBURY RD,E
29500,30400,HILLBROOK ST,B
18000,19099,SHADYSIDE ST,B
16100,16525,EDGEWOOD DR,B
37108,37108,MALLORY DR,E
14000,14499,STONEHOUSE AVE,B
4368,4668,BUCKEYE ST,E
18300,19550,GRASS LAKE RD,E
11300,11300,WATKINS RD,E
4100,4399,BRIARHILL DR,B
603,603,E MAIN ST,O
12310,12310,SNELL RD,E
1932,1932,W ALBAIN RD,E
5473,5503,W DARTMOOR DR,O
477,555,GRACE DR,O
3912,3912,MEGANS RDG,E
507,713,STONE ST,O
111,707,BORGESS AVE,B
100,499,GOLFVIEW WAY,B
3400,3400,LAKESHORE DR,E
2652,2680,LINDA DR,E
1253,1299,N ROESSLER ST,O
27000,27599,CAROL LN,B
57127,57127,12 MILE RD,O
57670,57670,PONTIAC TRL,E
3830,3830,BREST RD,E
5501,5599,LEANN CT,O
8358,8462,TALON CT,B
45731,45731,BLOOMCREST DR,O
20800,21503,E GLEN HAVEN CIR,B
300,399,PENNELL ST,B
43400,44398,6 MILE RD,E
18400,18499,FERMANAGH CT,B
48810,49228,RAINBOW LN N,B
9500,9998,BLUEWATER DR,E
11713,11845,ERIKSEN DR,O
2200,3200,E M 36,E
11331,11779,PLEASANT VIEW DR,O
8520,8929,SUNRISE MIST DR,B
9161,9161,ANDOVER FOREST LN,O
50425,50550,COTTONWOOD CT,B
49200,49299,HUNT CLUB CT,B
8815,9435,NORTHAMPTON DR,O
500,699,SIMPSON ST,B
20010,20112,CANDACE DR,E
19531,19622,ROSELAWN,B
37400,39400,CASTLE DR,B
28538,28538,HALECREEK ST,E
18283,18283,INKSTER RD,O
6585,6585,MERRIMAN RD,O
11000,11200,ROMAINE ST,B
101,241,S ANN ARBOR ST,O
767,852,FORD MILL DR,B
1101,1251,LONGVIEW LN,O
878,878,RISDON TRL S,E
625,625,WILLIS RD,O
8361,8589,BOULDER SHORES DR,O
815,853,DOWNY NEST,O
61101,61199,KOCHER DR,O
914,1058,OXFORD AVE,E
11001,11321,SANDY CREEK DR,O
100,399,UNIVERSITY AVE,B
3000,3130,STEVENS ST,E
22000,23199,FAIRFAX ST,B
26100,26599,MARY ST,B
13000,14999,SYRACUSE ST,B
714,810,DONNA DR,B
11503,12009,MINX RD,O
6688,7460,TAYLOR AVE,B
3455,3455,COUNTRY CT,O
19300,19398,LANCASTER DR,E
24284,24434,SAND PIPER DR,E
4500,4599,COOLIDGE ST,B
35000,35399,WINSLOW ST,B
36621,36621,DEERHURST S,O
600,699,LARCHMONT CT,B
8200,8743,TERRI DR,B
33400,33499,BENDON CT,B
33000,33910,HIVELEY ST,B
1320,1831,S PARENT ST,B
39604,39604,BART ST,E
2000,5598,N CANTON CENTER RD,E
47538,47799,FOX CT,B
8708,8708,HOLLY DR,E
445,445,N LOTZ RD,O
8080,8080,N RIDGE RD,E
303,483,VIRGINIA CT,O
41800,41899,WINTER CT,B
2256,2256,BROOKFIELD RD,E
3133,3133,EMPIRE STATE DR,O
46971,47091,N HIDDEN RIVER CIR,B
3403,3799,PARKLAWN DR,B
40600,41799,SINGH DR,B
205,375,ALEXIS WAY,O
200,399,ISABELLE WAY,B
9638,9638,MAIN ST,E
11447,11447,N SHORE DR,O
8588,8588,DANIEL DR,E
1500,1999,CHESTNUT ST,B
17500,17839,CLARK ST,B
16648,16932,ASPEN WAY,B
11000,11199,OAKLAWN ST,B
1,199,BELL ST,B
315,315,W CROSS ST,O
700,899,GOUCHNOUR ST,B
9549,9701,LANDSDOWNE LN,O
3011,3022,ORINOCO LN,B
6000,8499,SPRINGWATER DR,B
7800,7999,WINTERFIELD DR,B
1401,1725,FOLEY AVE,O
1002,1698,S HARRIS RD,E
400,699,PINEWOOD ST,B
4126,4126,3RD ST,E
4225,4225,CHRYSLER DR,O
200,898,MACK AVE,E
5300,5698,BRUSH ST,E
