low,high,street,side
3499,5999,S EBERHART AVE,O
7000,7999,E POPLAR RD,B
100,399,8TH ST,B
4710,4710,W WEINERT RD,E
1000,1299,LONE PINE DR,B
80,80,N WEAVER RD,E
3751,3751,W HUCKLEBERRY TRL,O
2001,2537,E SURREY RD,O
10225,10621,DICE RD,O
3800,3998,LAUCKNER LN,E
2765,10263,WURTZEL DR W,O
1580,1580,N CEDAR RIVER RD,E
300,399,W GROUT ST,B
9553,9553,N M 18,O
5001,5999,PARKER RD,B
5000,5999,SULLIVAN RD,B
247,247,2ND ST,O
2000,3999,CEDAR RD,B
1440,1440,DOUGLAS DR,E
107,107,HARRISON RR GRADE RD,O
6000,9524,E LONG LAKE RD,E
600,999,S PINE ST,B
8870,8870,E TOWNLINE LAKE RD,E
16000,16526,OHARA RD,B
25,27,E LAKESHORE DR,O
101,135,CEDARWOOD AVE,O
6006,6006,W HOUGHTON LAKE DR,E
100,800,OBJIBWAY AVE,B
101,111,GRAHAM DR,O
4500,4999,BAYOU DR,B
4000,4753,GUY RD,B
9200,9699,TERRY ST,B
29,311,S MAIDA RD,O
2646,2646,ROSE CITY RD,E
350,1250,TRAILWAY RD,B
4000,4782,N MERRILL RD,E
1100,1299,KENTFORD DR E,B
2727,2727,ASHMAN ST,O
900,1698,DILLOWAY DR,E
492,1499,S GREY RD,B
2101,2101,ISABELLA ST,O
509,509,W MAIN ST,O
4415,4415,OAKRIDGE DR,O
4000,4644,S SAGINAW RD,E
1,13,THURLOW CT,B
1,14,ARTHUR CT,B
1300,1599,CAROLINA ST,B
3100,3514,DARTMOUTH DR,B
2913,2913,GEORGETOWN DR,O
2500,2511,KIRK POINT DR,B
4206,4206,MELODY LN,E
4112,4112,E SAINT ANDREWS RD,E
2705,2705,SWEDE AVE,O
6508,6508,W WACKERLY ST,E
4209,4209,WASHINGTON ST,O
320,432,WILLOW ST,B
57,57,W ARTHUR RANDALL RD,O
400,599,GRIFFITH TRL,B
1,2000,N PERRY CREEK RD,B
2576,2576,N 11 MILE RD,E
1842,1842,E TOWNLINE 16 RD,E
824,824,W HOUGHTON LAKE DR,E
2800,4799,CUMMINGS RD,B
101,116,BITTERSWEET LN,B
6515,6723,ELLEN DR,B
101,120,HOLLY LN,B
11501,11923,MARBER DR,O
511,511,E PERE CHENEY RD,O
301,311,SHERWOOD DR,O
426,426,ABBOTT RD,E
438,438,MARILYN LN,E
20000,20699,COLVIN RD,B
6311,6817,S RAUCHOLZ RD,O
1240,1240,FLAMINGO DR,E
6000,6634,SUNSET DR,B
923,999,W INGHAM RD,O
2900,2900,N WEST RIVER RD,E
2648,2654,JOHNSON RD,E
5016,5016,ELLISON RD,E
355,355,N 3RD ST,O
2579,2649,COOK RD,O
2838,3002,HILLCREST DR,E
1380,1380,E M 55,E
1,1105,W OGEMAW CENTER RD,O
274,938,W VALLEY RD,E
3600,3699,EMERY ST,B
2000,2800,S DREYER RD,B
1800,6899,TIMBERLINE TRL,B
3302,3498,CHATHAM LN,E
4079,4131,E GLENWAY DR,B
100,348,MARQUETTE ST,E
985,985,PINE RD,O
686,3315,SHADY SHORE RD,B
2100,2199,16TH ST,B
164,164,FILLMORE PL,E
213,213,S LINCOLN ST,O
601,999,S TRUMBULL RD,O
5130,5244,N F 41,E
4345,4345,S PORTSMOUTH RD,O
2000,3000,COTTRELL DR,B
1048,1090,KNOLLWOOD DR,E
231,265,E SHERMAN ST,O
5001,6193,DUFTY RD,O
7100,7199,SCHAFF DR,B
2001,3999,CRAWFORD RD,B
5000,5499,SEVERANCE RD,B
6499,6499,N M 65,O
1801,1979,AUSABLE POINT RD,B
900,1020,N TAWAS LAKE RD,E
4924,4970,WEBER ST,E
20,92,W NEBOBISH RD,E
2000,2699,N MAIN ST,B
6000,7999,MAPLE RD,B
6600,6999,MCELDOWNEY RD,B
3000,3299,OAKRIDGE DR,B
1252,1998,N M 65,E
111,609,S 2ND ST,O
2215,2215,N POOR FARM RD,O
5901,5999,CURTIS ST,B
4000,4499,N SHREW RD,B
30,30,W SWAFFER RD,E
9356,9356,BELSAY RD,E
8197,8197,IRISH RD,O
1100,1198,E BROWN RD,E
952,952,S GREENWOOD RD,E
1650,1899,WOLF LN,B
4777,4777,AUSABLE RD,O
4400,4699,HILLCREST AVE,B
7043,7043,LOUD DR,O
4232,4232,PERIMETER RD,E
1130,1232,WAKEFIELD RD,E
17,17,EICHLER ST,O
5635,5635,E CEDAR CIRCLE DR,O
3500,3601,IDLEWILD DR,B
5324,5324,WILTFONG RD,E
9401,9999,W SAGINAW RD,O
4500,4999,MILLER RD,B
7500,8499,ALDRICH RD,B
2300,2499,FOREST HILLS DR,B
1000,1180,BAY DR,E
1150,1150,W LAKE ST,E
981,981,MONUMENT RD,O
3689,3775,TOWNLINE RD,O
3002,3998,W LAGRANT RD,B
3200,3399,PICKLE ST,B
4501,5399,HANES RD,O
8301,8899,SIMPSON RD,O
6419,6419,M 55,O
100,399,CRANE ST,B
5350,5350,N RICH RD,E
8001,9999,S CROSWELL RD,O
9001,9749,S MASON RD,O
3737,3737,E STOLL RD,O
2323,2323,FEUERSTEIN RD,O
12334,12398,PLANTATION CT NE,B
305,305,S DIVISION ST,O
4000,4999,ASH HWY,B
100,199,CROZIER DR,B
815,815,HIGH ST,O
4600,4899,MARGARET DR,B
1,999,W SPICERVILLE HWY,O
7500,9899,KEIM RD,B
6201,6291,N KERBY RD,O
6901,7399,SHIPMAN RD,O
225,279,PETERMAN DR,O
9162,9966,BAUER RD,E
3400,3950,W HOWE RD,E
1348,1348,W STOLL RD,E
3000,4066,GUNNELL RD,E
10054,11670,CUTLER RD,E
2901,2901,BONITA CIR,O
1300,1899,FOXCROFT RD,B
2285,2285,E LAKE LANSING RD,O
6000,6248,PORTER AVE,E
1300,1399,TAVISTOCK PL,B
900,1099,BRANDON CIR,B
200,398,DUTTON ST,E
711,711,MICHIGAN ST,O
8376,8376,E SPICERVILLE HWY,E
4606,5998,E CANNONSVILLE RD,E
225,225,E MAIN ST,B
11265,11265,N MERIDIAN RD,O
668,668,E BRICKER RD,E
7100,7499,WESTBROOK RD,B
5500,5676,N WACOUSTA RD,E
8552,8588,FOX RIVER DR,B
6010,6126,PHEASANT RIDGE DR,E
10500,10799,CORKERY LN,B
200,499,MADISON ST,B
504,504,E SAGINAW HWY,E
6701,6701,WILLOW HWY,O
11000,11999,BERRIDGE RD,B
1357,1357,S GREENVILLE RD,O
301,301,MANOKA LAKE DR,O
6751,9199,SAGE DR,O
8182,8182,YOUNGMAN RD,E
6313,6313,GREEN RD,O
6001,6299,OAKPARK TRL,O
19505,19505,S CHAPIN RD,O
2155,2155,CEDAR ST,O
2000,2499,N GUNN RD,B
1800,1999,PERSIMMON PATH,B
27,414,ABBY BROOK LN,B
3275,3873,CHILSON RD,O
1000,5999,EMILY CT,B
24,526,KEDDLE RD,B
316,828,OCEOLA ST,E
800,3011,SPIREA,B
100,167,DEERFIELD DR,B
5041,5041,E CHARLES RD,O
620,620,N JEFFERSON ST,E
200,398,E MAIN ST,E
1514,1514,NICKLEPLATE RD,E
3188,3188,E STAGE RD,E
916,916,WALL ST,E
2,3998,E JOHNSON RD,E
705,705,N UNION ST,O
7295,7295,CROSS CREEK DR,O
8642,8642,W PARKER RD,E
200,799,EAGLE POINT RD,B
2054,2054,50TH AVE,E
4300,5962,KENDAVILLE RD,B
3563,3563,KEEFER HWY,O
521,521,S CEDAR ST,O
500,998,HULL RD,E
100,299,STRATFORD DR,B
7000,7999,COLONIAL WAY,B
1400,1400,HOSKINS DR,B
1600,1776,TOWN COMMONS DR,B
500,799,N PURDY LN,B
1609,1609,E BELLOWS ST,O
101,1527,W BROOMFIELD ST,O
691,691,E DEERFIELD RD,O
802,802,GORDON ST,E
4500,4999,MAPLE DR,B
901,921,MULBERRY LN,O
997,997,E REMUS RD,O
3020,3660,W WALTON RD,B
169,169,W GARDEN,O
3362,3748,W SAINT JOE HWY,E
4200,4399,FARM MEADOWS CT,B
3953,3953,MERIDIAN RD,O
1448,1448,SYLVAN GLEN RD,E
6252,6898,DEWEY RD,E
2448,2448,S SHEPARDSVILLE RD,E
805,1441,S CEDAR ST,O
2423,2423,W DEWEY RD,O
100,700,E HAVEN DR,B
600,920,E KING ST,E
1526,1526,S M 52,E
1403,1403,MELINDA DR,O
114,690,N SHIAWASSEE ST,E
8147,8147,JUDEVINE RD,B
12270,12270,BEARDSLEE RD,E
5076,5076,LOVEJOY RD,E
6012,6320,WINEGAR RD,E
10452,10452,BUTLER RD,E
100,499,S EAST ST,B
100,1021,LOOKING GLASS AVE,B
7800,9098,SYLVAN DR,E
100,299,THORNWAY ST,B
11595,11595,W PINE ST,B
3620,3620,W CENTERLINE RD,E
2000,4980,S FRANCIS RD,E
2201,2499,N LOWELL RD,O
9066,9122,W PRICE RD,E
6252,8998,N US HIGHWAY 27,E
1008,1008,W CHEESMAN RD,E
11001,11999,E PLEASANT VALLEY RD,O
1,99,FULLER ST,B
6500,6799,SHORELINE CT,B
4000,5999,S LOOMIS RD,B
1,999,BEARDSLEE RD,B
7151,7937,E SESSIONS RD,O
6000,6612,W SIDNEY RD,E
228,8400,PETES DR,E
2001,3827,N GROW RD,B
5277,5499,N PLUMB RD,O
1000,1999,N OLSON RD,B
4200,5998,TUPPER LAKE RD,E
3290,3724,E DENNIS RD,E
2,248,N STOCKBRIDGE RD,E
84,2200,N LITTLEFIELD RD,B
5000,5426,S GRANGE RD,E
2695,2695,DONNA DR,O
6156,6196,LOUNSBURY RD,E
4200,4200,N WILLIAMSTON RD,E
600,999,BANGHART ST,B
200,499,W GIER ST,B
301,599,E OAKLAND AVE,O
3118,3118,TURNER ST,E
2300,2599,ARTISAN DR,B
1625,1625,CLIFTON AVE,O
2115,2115,FOREST RD,O
2022,2022,HARDING AVE,E
1100,1499,KELSEY AVE,B
628,628,W MOUNT HOPE AVE,E
3620,3620,PLEASANT GROVE RD,E
2110,2110,SUNNYSIDE AVE,E
2413,2413,S WASHINGTON AVE,O
3201,3201,S CATHERINE ST,O
4304,4304,DELL RD,E
3120,3120,W HOLMES RD,E
5867,5867,S MARTIN L KING JR BLVD,O
108,108,E NORTHRUP ST,E
5922,5922,SELFRIDGE BLVD,E
101,1729,E WILLOUGHBY RD,O
1919,2019,HOPKINS AVE,O
2100,3024,WOODRUFF AVE,E
1101,2299,W MICHIGAN AVE,O
5337,5337,ASPEN DR,O
1415,1415,ELMWOOD RD,O
1300,1899,MARCY AVE,B
800,3599,SALLY MAE TER,B
601,699,W OTTAWA ST,O
800,1099,GIBSON ST,B
900,1099,SCHUSTER AVE,B
4200,5750,CABOT ST,B
1300,1700,KINGSBURY DR,B
1414,1414,E OSTERHOUT AVE,E
8400,8430,TUMBLEWEED ST,B
3000,3339,BROOKMONT DR,B
100,728,N ORIENT AVE,E
3600,3999,ALAMO AVE,B
2501,2535,HILLSDALE AVE,O
2411,2411,RING RD S,O
600,799,JOHN ST,B
3541,3541,ADAMS ST,O
1334,1532,W KILGORE RD,E
2200,2399,WESTCHESTER LN,B
1,799,S 9TH ST,B
3243,3305,COTSWOLD ST,O
5376,5376,W G AVE,E
9200,9399,KULLEN BROOKE DR,B
8000,9000,OLD STONE CIR,B
7909,7971,SPRING HAVEN,O
4651,4699,WHITE PINE ST,O
3077,3325,128TH AVE,O
2600,2690,BEAR CREEK DR,B
3900,3999,KIELLA DR,B
3300,3499,RIVER RIDGE DR,B
100,398,CLARK ST,E
100,599,W JEFFERSON ST,B
200,210,S CENTER ST,E
1,98,4TH ST,B
489,489,CLIFF ST,O
106,106,JERICHO RD,E
753,753,MICHIGAN AVE E,O
134,134,ROOK ST,E
1,98,E ACACIA BLVD,B
100,120,CLUBHOUSE DR,B
74,74,GOLDEN AVE,E
220,220,S LA VISTA BLVD,E
211,211,S MOORLAND DR,O
12476,12476,SONOMA RD,E
500,599,WOODS RD,B
4996,5998,CRANDALL RD,E
14300,16002,HUTCHINSON RD,E
2,84,PENN ST,E
61,61,WABASH AVE S,O
3501,4999,FRUIN RD,B
101,199,PARK PL,O
200,498,BRUNSON AVE,E
100,499,ELOISE DR,B
1300,1498,JENNINGS AVE,E
3100,3199,MONTE BELLA DR,B
700,899,POLFUS DR,B
4905,5939,TERRITORIAL RD,O
1190,1286,BEAR LAKE CIR,B
1710,2016,HAVERHILL AVE,B
4300,4499,MONTEREY PINE AVE,B
2523,3300,PFITZER AVE,B
2200,2750,SUGARLOAF AVE,B
24000,25980,44TH ST,E
600,699,W COLON RD,B
100,498,SHAFFMASTER AVE,E
121,253,N 4TH ST,O
69500,71500,WATT RD,B
56200,56699,FISH LAKE ST,B
21002,21498,MCKENZIE ST,E
29340,29340,WHITE ST,E
61700,61899,STONEGATE DR,B
14000,16998,E MN AVE,B
101,599,W CENTRAL RD,O
700,799,EARNHARDT DR,B
1,99,N HUDSON ST,B
69,99,E MONTGOMERY ST,O
1000,1199,W SHORE DR,B
1,199,WALNUT ST,B
1,99,CANRIGHT ST,B
704,704,LINWOOD AVE,E
400,5998,MORGAN RD E,E
438,438,UPTON AVE,E
4500,4799,DAMON DR,B
6800,6999,SEMINOLE DR,B
31873,31873,W COLON RD,O
127,639,POLK ST,O
63870,65998,LUTZ RD,E
70414,79998,COUNTY ROAD 378,E
81000,81991,GARRETT DR,B
6000,6999,DELTON RD,B
3500,3999,S NORRIS RD,B
95538,95538,62ND ST,E
25500,25999,DEWEY LAKE ST,B
101,899,W HIGH ST,O
50000,51998,M 51 N,E
53000,53299,MAPLE CT,B
56200,58698,SINK RD,E
6500,6799,CHARRING CROSS DR,B
2309,3825,LAKE ST,O
2322,2698,SCHIPPERS LN,E
11400,11899,WILLOW COVE DR,B
14001,16999,E Z AVE,O
120,11428,VALLEY DR,E
100,199,MERSON RD,B
8330,8330,56TH ST,E
269,269,N PINE ST,O
61000,61199,SPRINGDALE CT,B
100,299,W CALGARY DR,B
300,899,W GRAND ST,B
150,998,E M 43 HWY,E
2751,4409,E SAGER RD,O
606,606,S WHITMORE RD,E
60504,60745,CEDAR ST,B
48000,57374,48TH AVE,E
23040,23040,72ND AVE,E
971,971,NIAGARA DR,B
10150,10212,DUTCH SETTLEMENT RD,E
15901,15999,MAPLE RD,O
10501,11499,23 MILE RD,O
16000,17020,L DR N,E
1136,1148,WOODRUFF DR,B
24411,24411,44TH AVE,O
22000,22299,INDIAN HILL TRL,B
48347,49514,TRUMPET LN,B
111,121,PLAINFIELD DR,O
10000,10998,S CLARK RD,E
6336,6336,S M 66 HWY,E
100,1698,S WOODLAND RD,B
1212,1212,W SPICERVILLE HWY,E
200,298,CHARLES ST,E
45077,45077,38TH AVE,O
30355,30355,COUNTY ROAD 665,O
30639,30864,MISSION AVE,B
1441,1441,2ND ST,O
120,120,FLORENCE ST,E
9002,9002,MARSH RD,E
1,199,W CHICAGO ST,O
124,198,N STRINGTOWN RD,E
9501,9501,W GULLWAY ST,O
900,1099,BROOKFIELD DR,B
4900,5658,HOLLYWOOD RD,B
1601,2051,NILES AVE,O
2300,2599,SUNDANCE PATH,B
706,706,E WYNDWICKE DR,E
6500,9669,W S AVE,B
10200,10999,TOMKINSON DR,B
71573,71573,24TH AVE,O
7021,7021,68TH ST,O
335,335,BLUE STAR HWY,O
46,100,ELKENBURG ST,E
629,869,PHILLIPS ST,O
68661,68887,BLANCHARD ST,O
23460,23972,FINDLEY RD,E
1100,1399,LOCKWOOD ST,B
26671,26671,PERRIN RD,O
30994,30994,US HIGHWAY 12,E
1201,1269,KLINK RD,O
11394,11394,BORN ST,E
56754,56932,FRANKLIN DR,E
14391,14391,M 216,O
501,719,OAK ST,O
56001,56115,TRUMAN DR,B
100,174,E HAYNER RD,E
14701,14799,KILOQUA WOODS LN,O
1413,1413,N IONIA RD,O
7822,7822,VALLEY HWY,E
11117,11545,E INDIAN LAKE DR,O
408,598,E VINE ST,E
708,799,LEWISTON AVE,B
9609,9943,BLYLY RD,O
11078,11078,RIVERSIDE DR,E
7616,10560,CLEVELAND AVE,E
10300,10399,CREEK LN,B
3900,3999,ROSE DR,B
9301,10089,RED ARROW HWY,O
12100,13743,GARDNER RD,B
14500,16000,WESTPOINTE DR,B
4278,4278,PARK RD,E
67001,67127,CONRAD RD,O
70000,70199,MAPLE DR,B
25001,26499,US HIGHWAY 12,O
7100,7299,KENILWORTH AVE,B
50200,50299,HICKS AVE,B
16500,16699,WESTWAY,B
1889,1889,BALDWIN DR,O
1200,1299,CHESTER CT,B
300,499,HARGER ST,B
1861,1861,LEWIS DR,O
2500,2598,MARY ST,E
1722,1722,ONTARIO RD,E
1400,1699,SIGNAL POINT DR,B
300,412,WURZ ST,B
3321,4899,HARTMAN RD,O
2328,2328,W GLENLORD RD,E
4901,5299,RED ARROW HWY,O
16100,17099,S FLYNN RD,B
15000,15699,STREED AVE,B
111,111,4TH ST,O
7403,8015,CAIN RD,O
7000,7990,DAN PATCH RD,B
312,312,W GANSON ST,E
51,51,HIGHLAND DR,O
1678,1682,W KIMMEL RD,E
603,603,W MICHIGAN AVE,O
3900,3990,PHILROSE DR,B
4780,4899,SCARBOROUGH ST,B
4510,4510,SUMMER PL,E
313,313,S WEST AVE,O
138,138,BATES ST,E
1113,1113,ELLERY AVE,O
200,499,JEFFERSON ST,B
231,231,ORANGE ST,O
524,524,WEBB ST,E
947,947,4TH ST,O
121,121,W BIDDLE ST,O
100,399,E EUCLID AVE,B
605,605,HARWOOD ST,O
1040,1040,S MARTIN LUTHER KING JR DR,E
793,793,OAKRIDGE DR,O
1215,1230,ROWAN ST,B
808,808,S WEST AVE,E
13540,13540,ADDISON RD,E
2668,2668,N ADRIAN HWY,E
5044,5338,BRAZEE RD,E
2000,2499,CURTIS RD,B
701,899,JAMES ST,O
770,770,W MAUMEE ST,E
1000,1199,PETOSKEY CT,B
230,230,E SIENA HEIGHTS DR,E
1,99,WINDCREST CT,B
3600,4999,ANDERSON DR,B
3100,3100,EATON RAPIDS RD,E
1312,1312,E MICHIGAN AVE,E
300,599,WASHINGTON ST,B
11100,11998,FORCHE RD,E
10300,12762,BRITTON HWY,E
6707,6707,POCKLINGTON RD,O
100,599,CEDAR ST,B
6301,8005,JEFFERSON RD,O
14600,104102,PAMAWA DR,E
14231,14231,W US HIGHWAY 12,O
100,199,STEWART AVE,B
120,516,VICARY RD,E
5364,5364,YORK DR,E
100,299,BARTLETT ST,B
2465,2465,W US HIGHWAY 12,O
7471,7581,RED OAK DR,O
1475,3797,BURTCH RD,O
3004,3007,MICHAEL DR,B
13461,13461,SAWMILL LN,O
15085,15379,HOWARD RD,O
2850,2999,E CAMDEN RD,B
2,140,S HOWELL ST,E
2516,2516,OAKWOOD DR,E
5944,5944,20 1/2 MILE RD,E
24001,24999,T DR S,O
6301,8075,TRIPP RD,O
1460,1460,S GARDNER RD,E
100,499,SCHOOL ST,B
11760,11820,GALWAY DR,B
7364,7364,CRANBERRY LAKE RD,E
6001,6999,RAINEY RD,O
1385,2249,PLAINS RD,O
6680,6680,DEVILS LAKE HWY,E
4844,4844,ROUND LAKE HWY,E
1101,1171,HAIGHT RD,O
215,216,E LAGRANGE ST,B
44,44,BATTEESE LAKE RD,B
12200,13274,CLINTON RD,E
1240,1240,SAND LAKE HWY,E
11501,12999,PIONEER RD,O
5886,7704,W TEMPERANCE RD,E
525,565,FOREST LN,B
3000,7390,WELLMAN RD,B
12601,12700,SECOR RD,B
10200,10399,JANE VALLEY RD,B
2300,2799,GINGER HILL RD,B
12501,12599,ARLAND RD,O
10603,10617,TRUCK DR,B
7890,7890,KING RD,E
9001,9999,S ROYSTON RD,O
5435,5435,HINKLEY RD,O
8182,8182,N ADRIAN HWY,E
600,799,INNER DR,B
300,828,OUTER DR,E
1110,1880,SHEPHERD RD,B
1291,1638,MULL RD,B
5601,7199,3 MILE RD NE,O
2992,4250,BUTTRICK AVE SE,E
4030,4792,EGYPT VALLEY AVE NE,E
641,1061,MCCABE AVE NE,O
7883,7883,TANNENBAUM DR SE,O
8364,8434,W BARBER RDG SE,B
9450,9580,TRINITY OAKS DR,B
2300,2300,W 44TH ST,E
6600,7250,DREXELO,B
10750,11600,S L LAKES BRIDGE ST,B
4580,4580,S MERRILLVILLE RD,E
9400,9499,S THORNDALE AVE,B
5700,6099,BIRCH DR,B
5878,5878,CHAUNCEY DR NE,E
1382,1382,SAFETY CT NE,E
22101,22101,13 MILE RD,O
18000,21499,200TH AVE,B
1200,1699,DARWIN AVE,B
18820,18820,NEWCOSTA AVE,E
23359,23359,WOODWARD AVE,O
8001,8599,W GARFIELD ST,O
719,719,30TH AVE,O
8120,8120,S WOODRUFF RD,E
3600,4750,76TH ST SW,E
1800,2199,CREEKSIDE DR SW,B
4700,4799,LOEW RD SW,B
6487,6488,SUNFLOWER DR SW,B
7500,7555,ALASKA VALLEY CT,B
6400,6800,GREEN VALLEY CT,B
4600,4900,PARIS RIDGE DR,B
10400,10800,WHISPERING WATERS LN SE,B
10750,10750,16 MILE RD NE,E
3493,3521,BRAEBURN ORCHARD DR NE,B
292,292,E MUSKEGON ST,E
13200,13699,WABASIS AVE NE,B
4700,5199,BROOKGATE DR NW,B
5202,6050,PEACH RIDGE AVE NW,E
9100,9954,W MCBRIDE RD,E
4169,4188,HICKORY,B
6000,7999,BUEHLER RD,B
13271,13431,HENDRICKSON ST,O
2093,2698,W 104TH ST,B
3177,3177,W 96TH ST,O
13521,13521,S JUNIPER AVE,O
1585,1585,E WINDCREST TRL,O
5900,6018,104TH ST,E
200,298,ELM ST,E
6500,6999,QUENTIN DR,B
2168,2168,22 MILE RD NW,E
199,199,SWEET MEADOW DR,O
3543,3543,CAUSEWAY DR,O
12630,12630,GRAND RIVER DR SE,E
4950,4950,LINCOLN LAKE AVE NE,E
11201,11399,RED OAK DR,B
6500,7399,2ND ST,B
8900,8999,WILDROSE AVE,B
4050,4249,DEWBERRY DR,B
7500,7599,LAYZIE ACRES LN,B
700,999,PINE CREEK DR,B
3200,5898,120TH AVE,E
22237,22237,4 MILE RD,O
100,299,RIVER VINE ST,B
2458,2626,E 88TH ST,E
5205,5231,S CENTERLINE RD,O
6500,6614,S FERRIS AVE,E
6630,9424,S MUNDY AVE,E
9600,9999,S POPLAR AVE,B
84,234,W WILLOW LN,E
19600,23999,KENDAVILLE RD,B
300,398,CHARLES ST,E
11201,11955,14 MILE RD NE,O
100,199,BRADMAN DR,B
10400,10600,ERICKSON FIELD DR,B
672,672,HILLVIEW PL,E
11600,11799,MAGGIE CT NE,B
7788,7788,NORTHLAND DR NE,E
507,507,ROCK HOLLOW DR NE,O
158,266,SUMMIT ST,E
7421,7585,WILKINSON DR NE,O
6518,6518,E 120TH ST,E
5401,6385,COAN ST,O
667,24000,NANCY DR,B
2400,2599,4TH ST,B
1783,1931,15 MILE RD NW,O
19201,21451,KENOWA AVE NW,O
37,211,SOUTH ST,O
9751,9824,CALGARY DR N,B
7100,11999,PIERCE RD,B
1102,1752,N MARBLE RD,E
3121,3168,8TH ST,B
300,399,MEADOW CT,B
3500,3599,TORONTO TRL,B
195,521,N BALDWIN AVE,O
442,482,S HEALD ST,E
17,4699,S POPLAR AVE,O
9201,9589,BASS DR,O
10173,10173,LAKER LN,O
10800,10999,SKYLANE CT,B
6985,6985,E RIDGE RD,O
6800,7198,KENOWA AVE NW,E
4000,5200,JOHNSON ST,B
1,199,N CUSTER RD,O
1,199,SOUTH ST,B
116,120,2ND ST,E
5800,5899,LAKELAND DR,B
6600,6799,N CLAEYS DR,B
4805,4805,W NURNBERG RD,O
7076,7780,W 64TH ST,E
3823,3823,S FERRIS AVE,O
700,800,OHIO ST,B
411,411,N 2ND AVE,O
6162,6162,E SUMMIT AVE,E
14401,14401,160TH AVE,O
14950,14999,ASPEN LN,B
12800,13095,DEADWOOD TRL,B
15952,15952,GROESBECK ST,E
16025,16025,LAKE AVE,O
12800,13099,MAGDIC DR,B
501,899,PENNOYER AVE,O
2000,2099,VISTA PL,B
3625,3963,BASSWOOD DR SW,B
3308,3325,DOVER CROSSING CT SW,B
3800,3899,NAVAHO CT SW,B
411,678,STONEHENGE DR,B
3901,3999,37TH ST,O
3737,3770,TRAPPERS XING,B
1,1299,GRISWOLD ST,O
1,4799,W TYLER RD,O
5300,5598,E BASELINE RD,E
3521,3521,S MAPLE ISLAND RD,O
284,284,W 10TH ST,E
248,248,W 13TH ST,E
185,185,W 14TH ST,O
272,272,W 17TH ST,E
5,5,W 28TH ST,O
121,121,W 30TH ST,O
180,180,E 32ND ST,E
41,41,W 35TH ST,O
4717,4717,48TH ST,O
1151,1267,BEACH DR,B
441,441,COLLEGE AVE,O
558,558,E GREENWOOD CIR,E
3890,3890,LINCOLN RD,E
980,980,PINE AVE,E
217,217,SUNRISE DR,O
5234,5898,140TH AVE,E
2592,2592,BEELINE RD,E
3930,3982,CREEKSIDE LN,E
11597,11843,HIDDEN HBR,O
2400,2444,LAKEFRONT DR,E
13780,13927,OASIS AVE,B
11201,11999,RILEY ST,O
1973,2005,TIFFANY CT,O
97,260,WOODWIND DR,B
10200,10796,SCHOW RD,E
7202,9598,64TH AVE,E
5115,5193,BLENDON MEADOWS CIR,O
3294,3294,DOWNHAM DR,E
1818,1818,JACKSON ST,E
3000,3170,OTTOGAN ST,E
2350,2450,SPRINGSIDE CT,B
6979,7199,YOUNGSTOWN AVE,O
7238,7598,CHERRY AVE,E
2511,3015,FILLMORE ST,O
3042,3159,PARK SOUTH DR,B
3344,3344,WINDBORNE LN,E
900,999,ELDER LN,B
100,598,S LAVINIA ST,B
3800,3999,W SENECA LN,B
13068,13232,12TH AVE,E
1,399,N 56TH AVE,O
7048,7384,ANDERSON RD,B
3,5,LOST LAKE DR,B
11676,11677,US HIGHWAY 31,B
1113,1163,ASPEN DR,B
789,789,W DALE AVE,O
1005,1005,W FOREST AVE,O
1087,1087,W GRAND AVE,O
890,890,E HILE RD,E
1299,1299,JEFFERSON ST,O
697,697,W LARCH AVE,O
2603,3395,MCCRACKEN ST,O
4886,4892,RAMBLING CREEK DR,E
889,889,W SOUTHERN AVE,O
1135,1135,WASHINGTON AVE,O
2072,2182,ARROWHEAD DR,E
4100,4284,DORAL DR,E
1405,1549,HOYT ST,B
6200,6400,MARY LOU LN,B
4058,4180,SAWGRASS TRL,E
1022,1370,WOODCREST ST,E
3934,3934,BUCK ST,E
3770,3770,HESS ST,E
1,799,E LINCOLN AVE,B
1,139,ROTTERDAM AVE,B
3940,3960,WESTWIND LN,B
1519,1519,DUCK LAKE RD,O
26,26,MAPLE CT,E
709,709,MOULTON AVE,O
2,1400,W RILEY THOMPSON RD,E
2200,2386,TIMBERLANE AVE,E
5145,5599,S OCEANA DR,O
10471,13989,LEONARD,O
41,197,N DOVER ST,O
8000,9200,N TIMBER SHORES DR,B
905,905,KENNY LN,O
3876,3876,IRONWOOD RD,E
6000,6398,S 100TH AVE,E
3507,3507,64TH ST,O
100,399,W 5TH ST,B
595,595,E US HIGHWAY 10,O
273,399,ELM ST,O
6000,6399,W WOODROW RD,B
18610,18629,COVENTRY CIR,B
16874,16926,LAKE RD,E
18325,18325,RANGER CT,O
2800,2999,WILLIS RD,B
5273,5273,DALSON RD,O
2353,2565,MAPLE RD,O
1,199,E WHITE LAKE DR,O
6801,7599,E VAN BUREN RD,O
16400,16800,HAVEN WOODS CT,B
16000,16250,WARREN DR,B
5301,5301,JAY RD,O
201,213,ROBINWOOD DR,O
5124,5124,N WEBER RD,E
4800,5599,76TH AVE,B
20,40,N CARLTON ST,E
8471,8471,GORDON ST,O
4801,5199,PERRY ST,O
1836,1966,SUNBURST CT,E
1511,1511,BRADFORD ST NE,O
418,418,COLLEGE AVE NE,E
101,219,GRAND AVE NE,O
1542,1542,MASON ST NE,E
500,599,OSGOOD PL SW,B
